No,Nama Function,Kategori,Sintaks,Deskripsi,Contoh Kasus,Tingkat,Catatan
1,CALL,Add-in and Automation,"=CALL(""library"",""function"",""type"",argument1,...)",Memanggil prosedur dari library eksternal (DLL) atau resource kode.,Mengakses fungsi API Windows dari Excel.,Advanced,"Jarang digunakan, perlu pemahaman programming dan akses ke DLL."
2,EUROCONVERT,Add-in and Automation,"=EUROCONVERT(number,source,target,fullprecision,triangulationprecision)",Mengkonversi nilai mata uang Euro dan antar mata uang anggota Uni Eropa.,Mengubah 1000 Franc Perancis ke Euro.,Intermediate,Butuh add-in Euro Tool.
3,REGISTER.ID,Add-in and Automation,"=REGISTER.ID(module_text,procedure,...)",Mengembalikan ID register dari library (DLL) yang sudah terdaftar.,Mengecek apakah sebuah fungsi eksternal sudah terdaftar.,Advanced,Sering digunakan bersama CALL.
4,CUBEKPIMEMBER,Cube,"=CUBEKPIMEMBER(connection,KPI_name,KPI_property,[caption])",Mengambil indikator KPI dari cube (OLAP) dan menampilkan nama atau propertinya.,Menampilkan KPI Monthly Gross Profit dari cube OLAP.,Advanced,Digunakan dalam analisis bisnis berbasis OLAP.
5,CUBEMEMBER,Cube,"=CUBEMEMBER(connection,member_expression,[caption])",Mengambil member atau tuple dari hierarki cube.,Menampilkan Sales Region = Asia dari cube.,Advanced,Membutuhkan koneksi ke OLAP server.
6,CUBEMEMBERPROPERTY,Cube,"=CUBEMEMBERPROPERTY(connection,member_expression,property)",Mengambil nilai properti dari sebuah member dalam cube.,Mengambil Product Category Name dari member produk tertentu.,Advanced,Lebih spesifik dibanding CUBEMEMBER.
7,CUBERANKEDMEMBER,Cube,"=CUBERANKEDMEMBER(connection,set_expression,rank,[caption])",Mengambil member berdasarkan ranking dalam sebuah set.,Menampilkan Top 1 Salesperson dalam cube.,Advanced,Berguna untuk ranking otomatis.
8,CUBESET,Cube,"=CUBESET(connection,set_expression,[caption],[sort_order],[sort_by])",Mendefinisikan set anggota dari cube berdasarkan ekspresi tertentu.,Membuat set Top 10 Products by Sales.,Advanced,Membutuhkan ekspresi MDX.
9,CUBESETCOUNT,Cube,=CUBESETCOUNT(set),Menghitung jumlah item dalam sebuah set cube.,Mengecek jumlah produk dalam kategori tertentu.,Advanced,Biasanya digunakan bersama CUBESET.
10,CUBEVALUE,Cube,"=CUBEVALUE(connection,member_expression1,[member_expression2],...)","Mengambil nilai agregat dari cube (misalnya total penjualan, jumlah karyawan, dll).",Menampilkan total Sales Revenue tahun 2024 dari cube.,Advanced,"Fungsi cube paling umum, mirip SUM tapi untuk OLAP."
11,DAVERAGE,Database,"=DAVERAGE(database, field, criteria)",Menghitung nilai rata-rata dari field tertentu pada database yang memenuhi kriteria.,"Rata-rata gaji karyawan di departemen ""HR"".",Intermediate,Berguna untuk analisis data dengan filter.
12,DCOUNT,Database,"=DCOUNT(database, field, criteria)",Menghitung jumlah record dalam field yang berisi angka sesuai kriteria.,Menghitung jumlah transaksi dengan nominal > 1 juta.,Intermediate,Hanya menghitung angka.
13,DCOUNTA,Database,"=DCOUNTA(database, field, criteria)",Menghitung jumlah record non-kosong dalam field sesuai kriteria.,Menghitung jumlah karyawan yang punya email (field tidak kosong).,Intermediate,"Menghitung semua tipe data, bukan hanya angka."
14,DGET,Database,"=DGET(database, field, criteria)",Mengambil satu nilai dari database yang sesuai kriteria unik.,Menampilkan nomor telepon karyawan dengan ID tertentu.,Intermediate,Akan error jika lebih dari 1 record cocok.
15,DMAX,Database,"=DMAX(database, field, criteria)",Mengambil nilai maksimum dari field sesuai kriteria.,Nilai penjualan tertinggi di cabang Surabaya.,Intermediate,Mirip MAX tapi berbasis database + kriteria.
16,DMIN,Database,"=DMIN(database, field, criteria)",Mengambil nilai minimum dari field sesuai kriteria.,Gaji terendah di departemen Finance.,Intermediate,Mirip MIN tapi dengan kriteria.
17,DPRODUCT,Database,"=DPRODUCT(database, field, criteria)",Menghitung hasil perkalian dari nilai dalam field sesuai kriteria.,Menghitung total produksi unit untuk kategori tertentu.,Advanced,"Jarang digunakan, hati-hati overflow jika angka besar."
18,DSTDEV,Database,"=DSTDEV(database, field, criteria)",Mengestimasi standar deviasi sampel dari field sesuai kriteria.,Menghitung variasi gaji karyawan berdasarkan sampel.,Advanced,Untuk analisis statistik berbasis sampel.
19,DSTDEVP,Database,"=DSTDEVP(database, field, criteria)",Menghitung standar deviasi populasi dari field sesuai kriteria.,Menghitung variasi gaji seluruh karyawan.,Advanced,"Populasi penuh, beda dengan DSTDEV."
